Entity Name,Entity Type,Jurisdiction,Layer,Role,Status,Formation Date,Counsel Contact,Domains Held,Key Functions,Notes
Root (Purpose Trust),Trust,Jersey or Guernsey (TBD),Layer 0,IP Custody Apex,Planned,TBD (counsel task CT-5),TBD,N/A (no domains held directly),Holds all civilizational IP; century-scale lifespan; sublicenses to MCV Tech,"Was previously named ""Covenant""; formation depends on counsel engagement"
MCV Holdings Ltd,VCC,Singapore,Layer 1,Federation Apex,Planned,TBD (counsel task CT-3),TBD,"mcv.global, mcv.one, mcv.id, mcv.dev, mcv.ad, mcv.holdings, mcv.ventures, mcv.software, mcv.finance, mcv.store, mcv.support, mcv.cx",Holds all Layer 2 subsidiaries; federation coordination; treasury coordinator,Primary operating entity after formation
MCV Tech (Ireland DAC),DAC,Ireland,Layer 1 — IP Ops,IP Licensing,Planned,TBD,TBD,"mcv.tech, mcv.technology",Holds sublicenses from Root; licenses IP out to Layer 2 ventures; accumulates royalties,Tax-efficient IP holding structure
MCV Finance Group VCC,VCC,Singapore,Layer 1 — Financial Ops,Token Treasury,Planned,TBD,TBD,"mcv.capital, mcv.fund",Holds FutureState SPC; manages token treasuries; issues securities,Separate from MCV Holdings for regulatory cleanliness
EdgeIQ Holdings Inc (Wyoming),C-Corp,"Wyoming, USA",Layer 1 — US Ops,US Operations,Active (existing),Incorporated,TBD,"mcv.inc, edgeiq.app",US operating entity; BetEdge AI parent,Moose Caliber Ventures Inc. as Canadian parallel
Moose Caliber Ventures Inc. (Ontario),Corp,"Ontario, Canada",Layer 1 — CA Ops,Canadian Operations,Active (existing),Reinstated,TBD,N/A,Canadian operating entity (also copyrights interim holder before Root formation),Tony to maintain good standing
BetEdge AI Inc,C-Corp,"Wyoming, USA",Layer 2 — Venture,BetEdge AI Venture,Active (existing),Incorporated,TBD,mcv.bet,Sports analytics SaaS venture; 23 microservices / 500+ APIs,78% MVP complete; Q3 2026 EDGE token deployment target
FutureState LP,Limited Partnership,Cayman Islands,Layer 2 — Venture,RWA Tokenization,Planned,TBD (counsel task SEC-3),TBD,"mcv.realty, mcv.homes, futurestate.app (to acquire), futurestate.io (to acquire), futurestate.xyz (to acquire)",Real-world asset tokenization; flagship Cliff Bay deal with Milborne + Soloviev,URGENT: partnership structure pre-disclosure
MCV Studios Entity,TBD,TBD,Layer 2 — Venture,Game Development Studio,Planned,TBD,TBD,"mcv.gg, mcv.studio (to acquire), mcv.games (to acquire), warforge.gg",Multi-title game studio; Atavism Online infrastructure,Warforge flagship + Pink Slip City secondary
ARQ Labs Entity,TBD,Canada,Layer 2 — Venture,R&D / IP Generation,Active,Incorporated,TBD,arqlabs.ca,Research arm; patents feed into MCV Tech (Ireland DAC),Acquisition target for ARQ-generated IP
Full Gain Entity,TBD,Canada,Layer 2 — Venture,Canadian Agency,Active (legacy),Incorporated,TBD,fullgain.ca,Canadian agency ops; may consolidate under MCV Digital,Legacy venture — renewal 2026-06-07
SerpSpace Entity,TBD,TBD,Layer 2 — Venture,SEO Platform,Legacy (rebuild),Incorporated (legacy),TBD,serpspace.com,SEO SaaS platform under rebuild,Legacy venture
MCV.FIT Entity (TBD),TBD,TBD,Layer 2 — Venture,Fitness/Wellness OS,Not yet formed,TBD,TBD,"mcv.fit, mcv.fitness (to acquire), mcv.doctor (to acquire), mcv.yoga (to acquire)",GYM OS for Anytime Fitness / Purpose Brands — 14k locations potential network,STRATEGIC — form when Anytime partnership firms up
