Domain,Price CAD,Premium,Decision,Priority,Rationale
futurestate.app,17.77,,ACQUIRE,P0,Primary venture surface — consumer + investor face. Hunter disclosure dependency.
futurestate.io,2608.43,premium,ACQUIRE,P0,Premium $2608 but standard dev/tech surface for RWA tokenization ventures. Pay it.
futurestate.xyz,135.56,premium,ACQUIRE,P0,Web3-native standard surface — token holders expect to find venture here.
futurestate.build,45.16,,ACQUIRE,P1,Build/construction vertical — Cliff Bay-tier development.
futurestate.ca,2326.36,premium,ACQUIRE,P1,"Canada ccTLD $2326 premium — Tony is Canadian, Cliff Bay is Muskoka. Worth it."
futurestate.condos,84.87,,ACQUIRE,P1,Cliff Bay direct fit (Milborne).
futurestate.construction,56.11,,ACQUIRE,P1,Construction vertical.
futurestate.estate,17.77,,ACQUIRE,P1,Estate brand — institutional RE complement; not in CSV but flag if appears.
futurestate.fund,16.40,,ACQUIRE,P1,Fund vehicle naming — Cliff Bay SPC complement.
futurestate.homes,2.46,,ACQUIRE,P1,Consumer RE surface — fractional residential complement.
futurestate.investments,9.56,,ACQUIRE,P1,Investor-facing surface defensive.
futurestate.land,16.40,,ACQUIRE,P1,Land vertical — undeveloped + commercial land.
futurestate.mortgage,90.34,,ACQUIRE,P1,Mortgage-backed RWA tokenization vertical.
futurestate.properties,21.88,,ACQUIRE,P1,Property-listing surface defensive.
futurestate.property,27.36,,ACQUIRE,P1,Singular property defensive.
futurestate.realty,136.65,,ACQUIRE,P1,Pure venture-fit — RWA real estate tokenization is THE thesis. Acquire.
futurestate.rentals,9.56,,ACQUIRE,P1,Rental-yield vertical — passive income surface.
futurestate.apartments,83.50,,ACQUIRE,P2,Apartments vertical defensive.
futurestate.builders,47.90,,ACQUIRE,P2,Builders defensive.
futurestate.contractors,50.63,,ACQUIRE,P2,Contractors defensive.
futurestate.energy,15.03,,ACQUIRE,P2,Energy vertical — RWA energy assets fit.
futurestate.group,36.94,,ACQUIRE,P2,Group defensive — FutureState Group corporate identifier.
futurestate.holdings,93.08,,ACQUIRE,P2,Holdings defensive.
futurestate.house,17.77,,ACQUIRE,P2,House defensive — warmer consumer brand.
futurestate.inc,681.89,,ACQUIRE,P2,Corporate entity defensive — FutureState Inc identifier.
futurestate.lease,80.76,,ACQUIRE,P2,Commercial lease defensive.
futurestate.ltd,8.19,,ACQUIRE,P2,Corporate entity defensive.
futurestate.money,16.40,,ACQUIRE,P2,Money brand defensive.
futurestate.partners,14.35,,ACQUIRE,P2,Partners defensive — Hunter/Kirill institutional partner brand.
futurestate.rent,6.85,,ACQUIRE,P2,Rent-defensive.
futurestate.site,1.34,,ACQUIRE,P2,Cheap defensive at $1.34. Brand integrity.
futurestate.villas,86.24,,ACQUIRE,P2,Premium residential — Muskoka resort tier.
futurestate.website,1.34,,ACQUIRE,P2,Cheap defensive at $1.34. Brand integrity.
futurestate.academy,14.35,,ACQUIRE,P3,Investor-education defensive.
futurestate.broker,16.40,,ACQUIRE,P3,Broker defensive.
futurestate.cash,8.19,,ACQUIRE,P3,Cash defensive — low.
futurestate.community,65.70,,ACQUIRE,P3,Community defensive.
futurestate.credit,12.98,,ACQUIRE,P3,Credit-product defensive.
futurestate.institute,8.19,,ACQUIRE,P3,Institute defensive — research/policy framing.
futurestate.insure,105.41,,ACQUIRE,P3,Insurance vertical defensive.
futurestate.loans,23.93,,ACQUIRE,P3,Loans defensive — RE financing.
futurestate.market,64.33,,ACQUIRE,P3,Market singular defensive.
futurestate.markets,8.19,,ACQUIRE,P3,Markets defensive.
futurestate.school,52.69,,ACQUIRE,P3,Investor school defensive.
futurestate.space,1.34,,ACQUIRE,P3,Space defensive — $1.34 cheap; minor brand defensive.
futurestate.systems,16.40,,ACQUIRE,P3,Systems defensive — low priority.
futurestate.trading,30.10,,ACQUIRE,P3,Trading defensive.
futurestate.us,2670.04,premium,DEFER,P1,US ccTLD premium $2670 — reconsider after US partner/entity formation.
futurestate.ac,39.68,,DEFER,P3,"Standard price (C$39.68) — no clear fit, defer."
futurestate.accountants,168.39,,DEFER,P3,Professional services premium — defer.
futurestate.actor,16.40,,DEFER,P3,"Standard price (C$16.40) — no clear fit, defer."
futurestate.ad,30.10,,DEFER,P3,"Standard price (C$30.10) — no clear fit, defer."
futurestate.ae.org,27.36,,DEFER,P3,Workaround TLD for .ae — defer.
futurestate.africa,15.03,,DEFER,P3,Africa defensive — defer until continent launch.
futurestate.archi,20.51,,DEFER,P3,"Standard price (C$20.51) — no clear fit, defer."
futurestate.asia,6.82,,DEFER,P3,Asia regional — defer.
futurestate.associates,17.77,,DEFER,P3,"Standard price (C$17.77) — no clear fit, defer."
futurestate.attorney,90.34,,DEFER,P3,Professional services premium — defer.
futurestate.auction,53.37,,DEFER,P3,"Standard price (C$53.37) — no clear fit, defer."
futurestate.band,19.14,,DEFER,P3,"Standard price (C$19.14) — no clear fit, defer."
futurestate.bar,3.83,,DEFER,P3,Cheap (C$3.83) — could grab but no clear fit. Defer to next batch.
