#,Domain,List Price CAD,Sale Price CAD,Savings,Decision,Class,Priority,Rationale,Fits a Class?,Needed <24mo?,Hard to Re-Acquire?
1,mcv.ac,86.01,39.58,46.43,ACQUIRE,Core,P0,Citizen Account Center — daily-use surface for every user.,Yes,Yes,Yes
76,mcv.eco,99.67,64.16,35.51,ACQUIRE,Core,P0,Already listed as Core — keep.,Yes,Yes,Yes
5,mcv.exchange,55.97,14.31,41.66,ACQUIRE,Platform,P0,Utility token swap venue — distinct from mcv.trade by asset class.,Yes,Yes,Yes
61,mcv.trade,955.98,955.98,,ACQUIRE,Platform,P0,Tokenized securities secondary market — distinct from mcv.exchange.,Yes,Yes,Yes
20,mcv.build,286.79,286.79,,ACQUIRE,Platform,P1,$286 premium but very strategic — build/construction flagship.,Yes,Yes,Yes
95,mcv.careers,103.76,39.58,64.18,ACQUIRE,Platform,P1,Talent + recruitment surface — Citizen career progression.,Yes,Yes,Yes
83,mcv.community,65.53,65.53,,ACQUIRE,Platform,P1,Community surface alternate to mcv.cx — defensive + warmer brand.,Yes,Yes,Yes
10,mcv.construction,55.97,55.97,,ACQUIRE,Platform,P1,Construction vertical — FutureState build-out + Cliff Bay-tier.,Yes,Yes,Yes
102,mcv.doctor,167.95,8.17,159.78,ACQUIRE,Platform,P1,Healthcare vertical — Citizen-OS health surface.,Yes,Yes,Yes
94,mcv.education,50.50,50.50,,ACQUIRE,Sacred-Floor,P1,Sacred Floor formal education vertical.,Yes,Yes,Yes
48,mcv.estate,55.97,17.73,38.24,ACQUIRE,Platform,P1,FutureState extended brand — institutional estate + commercial RE.,Yes,Yes,Yes
63,mcv.events,65.53,14.31,51.22,ACQUIRE,Platform,P1,Event hosting + conferences + WarForge tournaments.,Yes,Yes,Yes
16,mcv.fitness,60.06,6.12,53.94,ACQUIRE,Platform,P1,Fitness vertical complement to mcv.fit — Anytime/Purpose Brands.,Yes,Yes,Yes
36,mcv.games,94.64,94.64,,ACQUIRE,Platform,P1,Games developer platform — B2B dev surface complement to mcv.gg.,Yes,Yes,Yes
57,mcv.investments,187.07,9.53,177.54,ACQUIRE,Platform,P1,Investment vertical — institutional LP + retail investor portal.,Yes,Yes,Yes
6,mcv.land,60.06,16.36,43.70,ACQUIRE,Platform,P1,FutureState land vertical — undeveloped + commercial land tokenization.,Yes,Yes,Yes
7,mcv.law,630.95,630.95,,ACQUIRE,Platform,P1,Legal services flagship — premium $630 but strategic for legal vertical.,Yes,Yes,Yes
9,mcv.legal,102.40,102.40,,ACQUIRE,Platform,P1,Legal vertical — Citizen-OS legal services + counsel marketplace.,Yes,Yes,Yes
15,mcv.link,336.98,336.98,,ACQUIRE,Defensive,P1,$336 premium but strategic — link-shortener for entire ecosystem.,Yes,Yes,Yes
45,mcv.live,94.64,94.64,,ACQUIRE,Platform,P1,Live events + streaming + tournaments — gaming + community.,Yes,Yes,Yes
60,mcv.markets,28.65,8.17,20.48,ACQUIRE,Platform,P1,EdgeIQ Markets primary surface — markets analytics.,Yes,Yes,Yes
8,mcv.media,31.55,31.55,,ACQUIRE,Platform,P1,Content + journalism + ecosystem media arm.,Yes,Yes,Yes
49,mcv.mortgage,90.11,90.11,,ACQUIRE,Platform,P1,FutureState financing — mortgage-backed RWA tokenization.,Yes,Yes,Yes
80,mcv.press,238.99,238.99,,ACQUIRE,Platform,P1,PR + journalist relations surface — Gary/Joel-tier institutional press.,Yes,Yes,Yes
51,mcv.rentals,64.16,9.53,54.63,ACQUIRE,Platform,P1,FutureState rental yield surface — RWA passive-income portal.,Yes,Yes,Yes
11,mcv.school,94.64,94.64,,ACQUIRE,Sacred-Floor,P1,Sacred Floor education surface — Garden / Apprentice stages.,Yes,Yes,Yes
38,mcv.studio,57.36,57.36,,ACQUIRE,Platform,P1,MCV Studios corporate — game development arm corporate face.,Yes,Yes,Yes
86,mcv.team,31.55,31.55,,ACQUIRE,Platform,P1,Internal team surface + contractor onboarding.,Yes,Yes,Yes
90,mcv.training,60.06,12.26,47.80,ACQUIRE,Sacred-Floor,P1,Apprenticeship + skills training across Lineage Arc.,Yes,Yes,Yes
71,mcv.auction,53.23,53.23,,ACQUIRE,Sub-Venture,P2,Auction surface — RWA + WarForge marketplace.,Yes,Maybe,Yes
40,mcv.baby,88.74,2.46,86.28,ACQUIRE,Sacred-Floor,P2,Sacred Floor Cradle stage — infant-care surface.,Yes,Maybe,Yes
47,mcv.broker,53.23,16.36,36.87,ACQUIRE,Defensive,P2,Broker-dealer reference + future Dealer of Record entity.,Yes,Maybe,Yes
64,mcv.builders,47.77,47.77,,ACQUIRE,Defensive,P2,Defensive for mcv.construction.,Yes,Maybe,Yes
70,mcv.business,24.86,24.86,,ACQUIRE,Defensive,P2,B2B surface — multi-venture business gateway.,Yes,Maybe,Yes
29,mcv.cards,55.97,55.97,,ACQUIRE,Sub-Venture,P2,"Citizen-card products — gift, loyalty, credit cards.",Yes,Maybe,Yes
91,mcv.center,47.77,6.80,40.97,ACQUIRE,Sacred-Floor,P2,Sacred Floor Garden Houses physical-locator (already listed above — keeping).,Yes,Maybe,Yes
62,mcv.chat,31.55,31.55,,ACQUIRE,Sub-Venture,P2,Citizen-to-Citizen messaging surface.,Yes,Maybe,Yes
59,mcv.claims,94.20,16.36,77.84,ACQUIRE,Sub-Venture,P2,Insurance claims surface under mcv.insure.,Yes,Maybe,Yes
17,mcv.condos,84.65,84.65,,ACQUIRE,Sub-Venture,P2,Cliff Bay + condo-specific RWA tokenization (Milborne fit).,Yes,Maybe,Yes
65,mcv.contractors,50.50,50.50,,ACQUIRE,Defensive,P2,Contractor marketplace under mcv.construction.,Yes,Maybe,Yes
26,mcv.credit,150.20,12.95,137.25,ACQUIRE,Sub-Venture,P2,Credit-product surface — lending + Citizen credit profile.,Yes,Maybe,Yes
121,mcv.dental,111.96,111.96,,ACQUIRE,Sub-Venture,P2,Dental sub-vertical under mcv.doctor.,Yes,Maybe,Yes
213,mcv.directory,39.58,6.80,32.78,ACQUIRE,Defensive,P2,Citizen directory + Confluence/Weave registry.,Yes,Maybe,Yes
