Category,Value,Context,Col D,Col E
═══ PORTFOLIO OVERVIEW ═══,,,,
Metric,Count,Notes,,
Total Owned,28,Current inventory in Namecheap,,
Cart ACQUIRE decisions,83,Strategic buys from 218-cart,,
Cart DEFER decisions,82,Watchlist — re-evaluate quarterly,,
Cart KILL decisions,53,Not worth acquiring — brand-risk or no-fit,,
,,,,
═══ FINANCIAL ANALYSIS (CAD) ═══,,,,
Metric,Amount,Notes,,
Full cart effective cost,"C$47,049.93",If you bought everything — DO NOT,,
Recommended ACQUIRE cost,"C$6,406.22",Only the 83 strategic buys,,
DEFER watchlist value,"C$4,777.82",Keep monitoring but do not buy yet,,
KILL savings,"C$35,865.89",Money saved by NOT buying brand-risk / no-fit,,
Net recommendation,"C$6,406.22","Saves C$40,643.71 vs full cart",,
,,,,
═══ ACQUIRE BY CLASS ═══,,,,
Class,Count,Rough monthly value,,
Platform,28,C$3603.30,,
Defensive,27,C$1251.57,,
Sub-Venture,18,C$1123.29,,
Sacred-Floor,8,C$324.32,,
Core,2,C$103.74,,
,,,,
═══ ACQUIRE BY PRIORITY ═══,,,,
Priority,Count,Action window,,
P0,4,This week,,
P1,25,30 days,,
P2,49,90 days,,
P3,5,As budget allows,,
,,,,
═══ BIGGEST KILLS (savings) ═══,,,,
Domain,Sale Price,Reason,,
mcv.vip,C$9559.79,$9559 premium. Not worth ecosystem-relative value.,,
mcv.shop,C$3823.91,$3823 premium. mcv.store covers.,,
mcv.country,C$3138.34,$3138 premium. No clear ecosystem fit.,,
mcv.cars,C$2826.97,$2826 premium. Pink Slip City covers automotive narrative. P,,
mcv.bid,C$955.98,$955 premium. mcv.auction covers.,,
mcv.fast,C$955.98,$955 premium. No clear ecosystem fit.,,
mcv.talk,C$955.98,$955 premium. mcv.chat covers.,,
mcv.download,C$955.98,$955 premium. mcv.dev/downloads covers.,,
mcv.you,C$955.98,$955 premium. No fit.,,
mcv.cloud,C$955.98,$955 premium. mcv.dev + mcv.tech cover infra brand needs.,,
mcv.courses,C$955.98,$955 premium. mcv.education covers.,,
mcv.study,C$955.98,$955 premium. mcv.education + mcv.school cover.,,
mcv.tel,C$955.98,$955 premium. Niche TLD.,,
mcv.hiphop,C$955.98,Genre-specific. No fit.,,
mcv.feedback,C$764.78,$764 premium for low-strategic-fit. Use mcv.cx feedback inst,,
