Domain,Class,Category,Scope,Status,Routing,Intended Use,Product Owner,Holding Entity,Registrar,Renewal Date,TM Priority,TM Status,Patent-Adjacent,Interconnectivity Dependencies,Notes
mcv.global,Core,Brand Apex + Root Public Face,Universal,Active,TBD,Ecosystem homepage + Layer 0 Root narrative + primary brand face,Tony + Devon,MCV Holdings Ltd,Namecheap,2027-01-15,P0,Not-filed,No,Hosts corporate pages for all entities,Crown-jewel domain; every venture links here for ecosystem context
mcv.one,Core,Agentic OS + Identity Root,Universal,Active,TBD,Central agentic OS + MCV Atlas operator console + NAOS presence,Tony + Devon,MCV Holdings Ltd,Namecheap,2027-01-14,P0,Not-filed,Yes — NAOS + Core-Triangle,"mcv.id, mcv.eco",Extended by MCV Desktop; hosts atlas.mcv.one
mcv.id,Core,Identity-as-a-Service + Auth API,Universal,Active,TBD,Core-Triangle identity API + Sign-in-with-MCV for third parties,Tony,MCV Holdings Ltd,Namecheap,2027-01-15,P1,Not-filed,Yes — Core-Triangle,"mcv.ac, mcv.one",Developer-facing auth; isolated from mcv.one
mcv.dev,Core,Developer Platform,Universal,Active,TBD,API + compute credits + agent runtime + SDK marketplace,Tony,MCV Holdings Ltd,Namecheap,2027-01-15,P1,Not-filed,No,mcv.id (auth),Standard developer platform
mcv.tech,Core,IP Licensing Platform,Institutional,Active,TBD,Layer 1 IP operations; sublicenses from Root; licensing business face,Tony,MCV Tech (Ireland DAC),Namecheap,2027-01-15,P1,Not-filed,No,"mcv.global, mcv.one",Counsel-facing Core; clean for institutional IP deals
mcv.ad,Core,UWG Thesis + Narrative,Universal,Active,TBD,Marketing-as-grant public thesis + UWG strategic positioning narrative,Tony,MCV Holdings Ltd,Namecheap,2027-01-15,P2,Not-filed,No,mcv.eco,Distinct from mcv.eco — this is narrative; mcv.eco is mechanism
mcv.capital,Platform,Launchpad + Capital Markets,Institutional+Retail,Active,TBD,Launchpad + Unified Investor Journey + primary issuance venue (FutureState raise),Tony,MCV Finance Group VCC,Namecheap,2027-01-15,P0,Not-filed,Yes — 8-Stage Journey + Policy-as-Code,"mcv.id, mcv.fund, mcv.eco",Flagship; hosts Cliff Bay round
mcv.fund,Platform,Fund Management Vehicle,Institutional,Active,TBD,Cayman SPC surface + institutional LP-facing fund admin,Tony,MCV Finance Group VCC,Namecheap,2027-01-15,P1,Not-filed,No,mcv.capital,Holds FutureState SPC structure
mcv.finance,Platform,Retail Finance Products,Retail,Active,TBD,Retail financial products + treasury products + consumer lending surface,Tony,MCV Holdings Ltd,Namecheap,2027-01-15,P1,Not-filed,No,"mcv.id, mcv.eco",Retail complement to mcv.capital
mcv.realty,Platform,Institutional Real Estate,Institutional,Active,TBD,FutureState institutional surface — B2B real estate + commercial partnerships,Tony,FutureState LP,Namecheap,2027-01-15,P1,Not-filed,No,"mcv.capital, mcv.id",Counterpart to consumer mcv.homes
